Id,Year,Data
0,2005,0
0,2006,0
0,2007,0
0,2008,0.372
0,2009,0.44
0,2010,0.476
0,2011,0.383
0,2012,0.378
0,2013,0.357
0,2014,0.313
0,2015,0.398
0,2016,0.422
0,2017,0.266
0,2018,0.269
0,2019,0.257
1,2005,0
1,2006,0
1,2007,0.463
1,2008,0
1,2009,0.549
1,2010,0.527
1,2011,0.587
1,2012,0.551
1,2013,0.455
1,2014,0.481
1,2015,0.461
1,2016,0.451
1,2017,0.464
1,2018,0.5
1,2019,0.488
2,2005,0
2,2006,0
2,2007,0
2,2008,0
2,2009,0
2,2010,0.546
2,2011,0.532
2,2012,0.56
2,2013,0
2,2014,0.635
2,2015,0
2,2016,0.534
2,2017,0.525
2,2018,0.504
2,2019,0.501
3,2005,0
3,2006,0
3,2007,0
3,2008,0
3,2009,0
3,2010,0
3,2011,0.559
3,2012,0.436
3,2013,0.394
3,2014,0.379
3,2015,0
3,2016,0
3,2017,0
3,2018,0
3,2019,0
4,2005,0
4,2006,0.631
4,2007,0.607
4,2008,0.596
4,2009,0.642
4,2010,0.644
4,2011,0.678
4,2012,0.647
4,2013,0.658
4,2014,0.667
4,2015,0.67
4,2016,0.643
4,2017,0.604
4,2018,0.579
4,2019,0.597
5,2005,0
5,2006,0.429
5,2007,0.488
5,2008,0.465
5,2009,0.418
5,2010,0.437
5,2011,0.426
5,2012,0.432
5,2013,0.428
5,2014,0.445
5,2015,0.435
5,2016,0.433
5,2017,0.429
5,2018,0.506
5,2019,0.468
6,2005,0.734
6,2006,0
6,2007,0.729
6,2008,0.725
6,2009,0
6,2010,0.745
6,2011,0.741
6,2012,0.72
6,2013,0.736
6,2014,0.729
6,2015,0.731
6,2016,0.725
6,2017,0.726
6,2018,0.718
6,2019,0.722
7,2005,0
7,2006,0.712
7,2007,0
7,2008,0.718
7,2009,0
7,2010,0.73
7,2011,0.747
7,2012,0.74
7,2013,0.75
7,2014,0.695
7,2015,0.708
7,2016,0.705
7,2017,0.729
7,2018,0.74
7,2019,0.729
8,2005,0
8,2006,0.473
8,2007,0.457
8,2008,0.482
8,2009,0.457
8,2010,0.422
8,2011,0.468
8,2012,0.491
8,2013,0.548
8,2014,0.525
8,2015,0.515
8,2016,0.53
8,2017,0.515
8,2018,0.517
8,2019,0.516
9,2005,0
9,2006,0
9,2007,0
9,2008,0
9,2009,0.57
9,2010,0.594
9,2011,0.482
9,2012,0.503
9,2013,0.669
9,2014,0.617
9,2015,0.601
9,2016,0.617
9,2017,0.623
9,2018,0
9,2019,0.623
10,2005,0
10,2006,0.432
10,2007,0.461
10,2008,0.505
10,2009,0.508
10,2010,0.486
10,2011,0.499
10,2012,0.472
10,2013,0.466
10,2014,0.464
10,2015,0.463
10,2016,0.456
10,2017,0.431
10,2018,0.45
10,2019,0.483
11,2005,0
11,2006,0.566
11,2007,0.562
11,2008,0.546
11,2009,0.556
11,2010,0.553
11,2011,0.523
11,2012,0.575
11,2013,0.588
11,2014,0.581
11,2015,0.572
11,2016,0.518
11,2017,0.555
11,2018,0.523
11,2019,0.554
12,2005,0.726
12,2006,0
12,2007,0.722
12,2008,0.712
12,2009,0
12,2010,0.685
12,2011,0.711
12,2012,0.694
12,2013,0.71
12,2014,0.686
12,2015,0.69
12,2016,0.695
12,2017,0.693
12,2018,0.689
12,2019,0.686
13,2005,0
13,2006,0
13,2007,0.645
