Id,Year,Data
0,1990,0.298
0,1991,0.304
0,1992,0.312
0,1993,0.308
0,1994,0.303
0,1995,0.327
0,1996,0.331
0,1997,0.335
0,1998,0.339
0,1999,0.343
0,2000,0.345
0,2001,0.347
0,2002,0.378
0,2003,0.387
0,2004,0.4
0,2005,0.41
0,2006,0.419
0,2007,0.431
0,2008,0.436
0,2009,0.447
0,2010,0.464
0,2011,0.465
0,2012,0.479
0,2013,0.485
0,2014,0.488
0,2015,0.49
0,2016,0.491
0,2017,0.493
0,2018,0.496
1,1990,0.644
1,1991,0.625
1,1992,0.608
1,1993,0.611
1,1994,0.617
1,1995,0.629
1,1996,0.639
1,1997,0.639
1,1998,0.649
1,1999,0.66
1,2000,0.667
1,2001,0.673
1,2002,0.68
1,2003,0.687
1,2004,0.692
1,2005,0.702
1,2006,0.709
1,2007,0.718
1,2008,0.724
1,2009,0.729
1,2010,0.74
1,2011,0.759
1,2012,0.771
1,2013,0.781
1,2014,0.787
1,2015,0.788
1,2016,0.788
1,2017,0.789
1,2018,0.791
2,1990,0.578
2,1991,0.582
2,1992,0.589
2,1993,0.593
2,1994,0.597
2,1995,0.602
2,1996,0.61
2,1997,0.619
2,1998,0.629
2,1999,0.638
2,2000,0.646
2,2001,0.655
2,2002,0.666
2,2003,0.676
2,2004,0.685
2,2005,0.694
2,2006,0.699
2,2007,0.708
2,2008,0.711
2,2009,0.72
2,2010,0.73
2,2011,0.738
2,2012,0.737
2,2013,0.746
2,2014,0.749
2,2015,0.751
2,2016,0.755
2,2017,0.758
2,2018,0.759
161,1990,0
161,1991,0
161,1992,0
161,1993,0
161,1994,0
161,1995,0
161,1996,0
161,1997,0
161,1998,0
161,1999,0
161,2000,0.759
161,2001,0.767
161,2002,0.78
161,2003,0.82
161,2004,0.826
161,2005,0.819
161,2006,0.829
161,2007,0.829
161,2008,0.831
161,2009,0.83
161,2010,0.828
161,2011,0.827
161,2012,0.849
161,2013,0.846
161,2014,0.853
161,2015,0.85
161,2016,0.854
161,2017,0.852
161,2018,0.857
3,1990,0
3,1991,0
3,1992,0
3,1993,0
3,1994,0
3,1995,0
3,1996,0
3,1997,0
3,1998,0
3,1999,0.384
3,2000,0.394
3,2001,0.404
3,2002,0.419
3,2003,0.428
3,2004,0.44
