Id,Year,Data
2,1970,0.145
2,1971,0.149
2,1972,0.183
2,1973,0.237
2,1974,0.266
2,1975,0.319
2,1976,0.39
2,1977,0.363
2,1978,0.546
2,1979,0.869
2,1980,0.689
2,1981,0.775
2,1982,0.98
2,1983,1.36
2,1984,1.34
2,1985,1.43
2,1986,1.42
2,1987,1.56
2,1988,1.58
2,1989,1.66
2,1990,1.72
2,1991,1.81
2,1992,1.85
2,1993,1.83
2,1994,1.65
2,1995,1.84
2,1996,1.92
2,1997,2.16
2,1998,2.28
2,1999,2.53
2,2000,2.55
2,2001,2.36
2,2002,2.4
2,2003,2.5
2,2004,2.42
2,2005,2.2
2,2006,2.08
2,2007,2.05
2,2008,2.04
2,2009,1.86
2,2010,1.85
2,2011,1.87
2,2012,1.8
2,2013,1.79
2,2014,1.77
2,2015,1.76
2,2016,1.94
2,2017,1.93
2,2018,1.91
2,2019,1.72
4,1970,0.211
4,1971,0.224
4,1972,0.21
4,1973,0.225
4,1974,0.238
4,1975,0.249
4,1976,0.234
4,1977,0.237
4,1978,0.241
4,1979,0.22
4,1980,0.252
4,1981,0.258
4,1982,0.284
4,1983,0.375
4,1984,0.379
4,1985,0.384
4,1986,0.422
4,1987,0.406
4,1988,0.474
4,1989,0.494
4,1990,0.457
4,1991,0.504
4,1992,0.501
4,1993,0.53
4,1994,0.541
4,1995,0.6
4,1996,0.686
4,1997,0.642
4,1998,0.686
4,1999,0.793
4,2000,0.848
4,2001,0.833
4,2002,0.801
4,2003,0.901
4,2004,0.975
4,2005,0.981
4,2006,0.981
4,2007,0.945
4,2008,0.919
4,2009,0.856
4,2010,0.82
4,2011,0.785
4,2012,0.756
4,2013,0.704
4,2014,0.695
4,2015,0.708
4,2016,0.737
4,2017,0.727
4,2018,0.764
4,2019,0.799
6,1970,0.116
6,1971,0.17
6,1972,0.241
6,1973,0.301
6,1974,0.339
6,1975,0.36
6,1976,0.42
6,1977,0.474
6,1978,0.505
6,1979,0.575
6,1980,0.652
6,1981,0.698
6,1982,0.671
6,1983,0.719
6,1984,0.699
6,1985,0.735
6,1986,0.79
6,1987,0.794
6,1988,0.8
6,1989,0.911
6,1990,1.04
6,1991,1.08
6,1992,1.15
6,1993,1.19
6,1994,1.35
6,1995,1.41
6,1996,1.4
6,1997,1.39
6,1998,1.4
6,1999,1.41
6,2000,1.41
6,2001,1.46
6,2002,1.46
6,2003,1.48
6,2004,1.55
6,2005,1.63
6,2006,1.7
6,2007,1.76
6,2008,1.68
6,2009,1.85
6,2010,2.1
6,2011,2.12
6,2012,2.23
6,2013,2.29
6,2014,2.43
6,2015,2.73
6,2016,3.42
6,2017,3.95
6,2018,4.49
6,2019,5.24
8,1970,0
8,1971,0
8,1972,0
8,1973,0
8,1974,0
8,1975,0
8,1976,0
8,1977,0
8,1978,0
8,1979,0
8,1980,0
8,1981,0
8,1982,0
8,1983,0
8,1984,0
8,1985,1.77
8,1986,1.68
8,1987,1.52
8,1988,1.42
8,1989,1.31
8,1990,1.15
8,1991,0.98
8,1992,0.886
8,1993,0.752
8,1994,0.698
8,1995,0.712
8,1996,0.627
8,1997,0.592
8,1998,0.548
8,1999,0.583
8,2000,0.545
8,2001,0.529
8,2002,0.486
8,2003,0.48
8,2004,0.462
8,2005,0.563
8,2006,0.657
8,2007,1.04
8,2008,1.55
8,2009,1.53
8,2010,1.55
8,2011,1.5
8,2012,1.56
8,2013,1.6
8,2014,1.66
8,2015,1.68
8,2016,1.61
8,2017,1.55
8,2018,1.65
8,2019,2.08
9,1970,2.63
9,1971,3.7
9,1972,4.44
9,1973,6.02
9,1974,7.06
9,1975,7.02
9,1976,6.91
9,1977,7.02
9,1978,7.22
9,1979,7.56
9,1980,5.84
9,1981,5.21
9,1982,7.98
9,1983,8.14
9,1984,8.17
9,1985,9.68
9,1986,10.7
9,1987,10.1
9,1988,10.3
9,1989,10.4
9,1990,10.5
9,1991,9.77
9,1992,11.1
9,1993,11.6
9,1994,11.6
9,1995,11.5
9,1996,11.5
9,1997,12.1
9,1998,12.3
9,1999,12.3
9,2000,11.9
9,2001,11.8
9,2002,11.6
9,2003,11.1
9,2004,9.61
9,2005,9.84
9,2006,9.66
9,2007,9.3
9,2008,9.27
9,2009,8.8
9,2010,8.61
9,2011,8.49
9,2012,8.63
9,2013,9.13
9,2014,9.46
9,2015,9.25
9,2016,8.69
9,2017,8.33
9,2018,8.02
9,2019,8.85
10,1970,0
10,1971,0
10,1972,0.00567
10,1973,0.00773
10,1974,0.00836
10,1975,0.00825
10,1976,0.0106
10,1977,0.0116
10,1978,0.0124
10,1979,0.0139
10,1980,0.0152
10,1981,0.0143
10,1982,0.0181
10,1983,0.0196
10,1984,0.0221
10,1985,0.0244
10,1986,0.0268
10,1987,0.0307
10,1988,0.0352
10,1989,0.0363
10,1990,0.0381
10,1991,0.0384
10,1992,0.0409
10,1993,0.0448
10,1994,0.0465
10,1995,0.0503
10,1996,0.0529
10,1997,0.0509
10,1998,0.0539
10,1999,0.0576
10,2000,0.061
10,2001,0.067
10,2002,0.0693
10,2003,0.0732
10,2004,0.0775
10,2005,0.082
10,2006,0.0876
10,2007,0.0924
10,2008,0.0976
10,2009,0.11
10,2010,0.112
10,2011,0.113
10,2012,0.121
10,2013,0.124
10,2014,0.128
10,2015,0.142
10,2016,0.144
10,2017,0.143
10,2018,0.142
10,2019,0.151
16,1970,0.00803
16,1971,0.00786
16,1972,0.205
16,1973,0.309
16,1974,0.317
16,1975,0.305
16,1976,0.308
16,1977,0.318
16,1978,0.306
16,1979,0.328
16,1980,0.393
16,1981,0.411
16,1982,0.418
16,1983,0.393
16,1984,0.37
16,1985,0.36
16,1986,0.359
16,1987,0.367
16,1988,0.38
16,1989,0.393
16,1990,0.393
16,1991,0.382
16,1992,0.34
16,1993,0.332
16,1994,0.351
16,1995,0.343
