Id,Year,Data
2,1970,2100000
2,1971,2210000
2,1972,2800000
2,1973,3720000
2,1974,4300000
2,1975,5290000
2,1976,6660000
2,1977,6380000
2,1978,9890000
2,1979,16200000
2,1980,13300000
2,1981,15400000
2,1982,20000000
2,1983,28700000
2,1984,29200000
2,1985,32100000
2,1986,32800000
2,1987,37100000
2,1988,38700000
2,1989,41800000
2,1990,44400000
2,1991,47900000
2,1992,49900000
2,1993,50500000
2,1994,46400000
2,1995,52900000
2,1996,56100000
2,1997,64400000
2,1998,68900000
2,1999,77500000
2,2000,79000000
2,2001,74400000
2,2002,76500000
2,2003,80700000
2,2004,79200000
2,2005,73000000
2,2006,69900000
2,2007,70200000
2,2008,71000000
2,2009,65800000
2,2010,66500000
2,2011,68400000
2,2012,67400000
2,2013,68200000
2,2014,68900000
2,2015,70000000
2,2016,78600000
2,2017,79900000
2,2018,80700000
2,2019,74200000
4,1970,5030000
4,1971,5440000
4,1972,5170000
4,1973,5630000
4,1974,6060000
4,1975,6430000
4,1976,6130000
4,1977,6330000
4,1978,6530000
4,1979,6050000
4,1980,7020000
4,1981,7300000
4,1982,8190000
4,1983,11000000
4,1984,11300000
4,1985,11600000
4,1986,13000000
4,1987,12700000
4,1988,15000000
4,1989,15900000
4,1990,14900000
4,1991,16700000
4,1992,16800000
4,1993,18000000
4,1994,18600000
4,1995,20900000
4,1996,24200000
4,1997,22900000
4,1998,24700000
4,1999,28900000
4,2000,31300000
4,2001,31100000
4,2002,30200000
4,2003,34300000
4,2004,37500000
4,2005,38200000
4,2006,38500000
4,2007,37500000
4,2008,36800000
4,2009,34700000
4,2010,33500000
4,2011,32400000
4,2012,31500000
4,2013,29700000
4,2014,29700000
4,2015,30500000
4,2016,32100000
4,2017,31900000
4,2018,33900000
4,2019,35800000
6,1970,1490000
6,1971,2220000
6,1972,3190000
6,1973,4050000
6,1974,4620000
6,1975,4960000
6,1976,5850000
6,1977,6690000
6,1978,7200000
6,1979,8290000
