Id,Year,Data
2,1980,168
2,1981,161
2,1982,153
2,1983,145
2,1984,137
2,1985,129
2,1986,122
2,1987,115
2,1988,115
2,1989,112
2,1990,111
2,1991,119
2,1992,117
2,1993,116
2,1994,91
2,1995,111
2,1996,110
2,1997,119
2,1998,117
2,1999,128
2,2000,126
2,2001,125
2,2002,123
2,2003,122
2,2004,120
2,2005,118
2,2006,116
2,2007,114
2,2008,112
2,2009,110
2,2010,108
2,2011,106
2,2012,104
2,2013,102
2,2014,100
2,2015,98.2
2,2016,96.2
2,2017,94.3
2,2018,92.4
2,2019,90.6
4,1980,20.1
4,1981,20
4,1982,21
4,1983,20.3
4,1984,19.7
4,1985,19.7
4,1986,19.1
4,1987,19.5
4,1988,21.4
4,1989,18.3
4,1990,17.7
4,1991,17
4,1992,14.1
4,1993,13.3
4,1994,13.6
4,1995,15.6
4,1996,15.9
4,1997,16.8
4,1998,16.7
4,1999,17.5
4,2000,18.5
4,2001,17.9
4,2002,15.4
4,2003,14.1
4,2004,12.3
4,2005,9.88
4,2006,9.94
4,2007,9.75
4,2008,8.7
4,2009,8.19
4,2010,7.68
4,2011,7.04
4,2012,6.61
4,2013,6.81
4,2014,6.82
4,2015,7.12
4,2016,6.77
4,2017,7.08
4,2018,7.31
4,2019,7.25
6,1980,8.72
6,1981,21.7
6,1982,30
6,1983,29.1
6,1984,31.4
6,1985,31.8
6,1986,39.8
6,1987,46.4
6,1988,44.1
6,1989,40.1
6,1990,38.4
6,1991,38.8
6,1992,40.6
6,1993,39.6
6,1994,51
6,1995,49.3
6,1996,52.5
6,1997,57
6,1998,75.1
6,1999,74.3
6,2000,81.4
6,2001,97.5
6,2002,91.5
6,2003,85.2
6,2004,82
6,2005,81.9
6,2006,81.2
6,2007,76.9
6,2008,116
6,2009,114
6,2010,116
6,2011,112
6,2012,111
6,2013,109
6,2014,91
6,2015,89.9
6,2016,88.6
6,2017,87.5
6,2018,86.4
6,2019,85.3
8,1980,0
8,1981,0
8,1982,0
8,1983,0
8,1984,0
8,1985,0
8,1986,0
8,1987,0
8,1988,0
8,1989,0
8,1990,0
8,1991,0
8,1992,0
8,1993,0
8,1994,0
8,1995,0
8,1996,0
8,1997,74.5
8,1998,73.9
8,1999,111
8,2000,110
8,2001,109
8,2002,108
8,2003,107
8,2004,105
8,2005,104
8,2006,103
8,2007,103
8,2008,108
8,2009,103
8,2010,102
8,2011,100
8,2012,99.2
8,2013,96.7
8,2014,127
8,2015,123
8,2016,122
8,2017,121
8,2018,193
8,2019,255
9,1980,1420
9,1981,1320
9,1982,1270
9,1983,1210
9,1984,1160
9,1985,1100
9,1986,1040
9,1987,970
9,1988,899
9,1989,837
9,1990,785
9,1991,747
9,1992,703
9,1993,653
9,1994,613
9,1995,574
9,1996,540
9,1997,525
9,1998,509
9,1999,408
9,2000,364
9,2001,347
9,2002,329
9,2003,260
9,2004,239
9,2005,223
9,2006,207
9,2007,181
9,2008,178
9,2009,167
9,2010,151
9,2011,146
9,2012,131
9,2013,124
9,2014,116
9,2015,107
9,2016,110
9,2017,110
9,2018,105
9,2019,42.3
10,1980,3.11
10,1981,3.36
10,1982,3.5
10,1983,3.13
10,1984,3.46
10,1985,3.37
10,1986,3.29
10,1987,3.21
10,1988,3.09
10,1989,6.24
10,1990,6.09
10,1991,5.91
10,1992,2.43
10,1993,2.33
10,1994,2.31
10,1995,2.05
10,1996,2.21
10,1997,2.14
10,1998,2.1
10,1999,2.23
10,2000,2.08
10,2001,2.26
10,2002,2.22
10,2003,2.78
10,2004,2.67
10,2005,2.54
10,2006,2.35
10,2007,2.27
10,2008,2.07
10,2009,2.16
10,2010,2.08
10,2011,2.03
10,2012,1.58
10,2013,1.44
10,2014,1.3
10,2015,1.14
10,2016,1.01
10,2017,0.915
10,2018,0.672
10,2019,0.665
16,1980,19.4
16,1981,24.6
16,1982,20.7
16,1983,19.5
16,1984,19.2
16,1985,19.1
16,1986,19.4
16,1987,15.7
16,1988,15.6
16,1989,15.2
16,1990,14.3
16,1991,14.6
16,1992,13.4
16,1993,12.8
16,1994,12.7
16,1995,12.5
16,1996,12
16,1997,13
16,1998,16.1
16,1999,15.8
16,2000,20.1
16,2001,22.7
16,2002,23.4
16,2003,22.1
16,2004,21
16,2005,20.2
16,2006,19.5
16,2007,18.8
16,2008,25.1
16,2009,24.7
16,2010,24.3
16,2011,23.9
16,2012,26.5
16,2013,24.5
16,2014,22.7
16,2015,22.4
16,2016,23.9
16,2017,19.9
16,2018,18.2
16,2019,16.6
19,1980,0.407
19,1981,0.451
19,1982,0.528
19,1983,0.588
19,1984,0.589
19,1985,0.638
19,1986,0.645
19,1987,0.692
19,1988,0.704
19,1989,0.736
19,1990,0.716
19,1991,0.759
19,1992,0.8
19,1993,0.81
19,1994,0.85
19,1995,0.882
19,1996,0.891
19,1997,1.27
19,1998,1.24
19,1999,1.24
19,2000,1.17
19,2001,1.15
19,2002,1.26
19,2003,1.25
19,2004,1.64
19,2005,1.53
19,2006,1.72
19,2007,1.78
19,2008,1.76
19,2009,1.76
19,2010,2.01
19,2011,2.16
19,2012,2.14
19,2013,2.11
19,2014,2.16
19,2015,1.95
19,2016,1.7
19,2017,1.65
19,2018,1.63
19,2019,1.6
165,1980,937
165,1981,930
165,1982,941
165,1983,902
165,1984,957
165,1985,930
165,1986,1290
165,1987,1220
165,1988,1160
165,1989,1110
165,1990,1120
165,1991,1310
165,1992,1280
165,1993,1250
165,1994,1210
165,1995,1180
165,1996,1150
165,1997,1100
165,1998,1050
165,1999,1010
165,2000,964
165,2001,919
165,2002,886
165,2003,857
165,2004,837
165,2005,817
165,2006,784
165,2007,803
165,2008,742
165,2009,706
165,2010,680
165,2011,642
165,2012,607
165,2013,586
165,2014,563
165,2015,546
165,2016,527
165,2017,496
165,2018,491
165,2019,486
25,1980,87.5
25,1981,89.1
25,1982,89.1
25,1983,89
25,1984,94.6
25,1985,92.7
25,1986,90.3
25,1987,87.3
25,1988,85.4
25,1989,86.2
25,1990,84.8
25,1991,83.3
25,1992,81.2
25,1993,67
25,1994,56.4
25,1995,56.7
25,1996,56.5
25,1997,52.1
25,1998,49.9
25,1999,48.6
25,2000,47.2
25,2001,47
25,2002,45.8
25,2003,43.6
25,2004,43.1
25,2005,43.5
25,2006,43.2
25,2007,42.5
25,2008,45.1
25,2009,43.9
25,2010,49.6
25,2011,47.7
25,2012,49.1
25,2013,49.2
25,2014,47.8
25,2015,51.7
25,2016,49.4
25,2017,48.6
25,2018,46.4
25,2019,47.7
29,1980,0.637
29,1981,0.626
29,1982,0.758
29,1983,0.76
29,1984,0.763
29,1985,0.735
29,1986,0.717
29,1987,0.727
29,1988,0.735
29,1989,0.801
29,1990,0.77
29,1991,0.762
29,1992,1.05
29,1993,1.24
29,1994,1.23
29,1995,1.22
29,1996,0.848
29,1997,0.834
29,1998,0.975
29,1999,0.968
29,2000,0.961
29,2001,0.955
29,2002,0.88
29,2003,0.921
29,2004,0.993
29,2005,1.05
29,2006,1.14
29,2007,1.52
29,2008,1.8
29,2009,1.9
29,2010,1.81
29,2011,1.92
29,2012,2.04
29,2013,2.18
29,2014,2.3
29,2015,2.99
29,2016,3.49
29,2017,3.84
29,2018,4.01
29,2019,5.27
30,1980,3.93
30,1981,3.84
30,1982,3.7
30,1983,3.41
30,1984,3.22
30,1985,3.09
30,1986,3.2
30,1987,2.69
30,1988,3.46
30,1989,2.91
30,1990,2.64
30,1991,2.54
30,1992,4.66
30,1993,5.21
30,1994,5.18
30,1995,5.16
30,1996,5.07
30,1997,4.5
30,1998,4.43
30,1999,4.18
30,2000,2.82
30,2001,2.75
30,2002,2.54
30,2003,2.38
30,2004,2.45
30,2005,2.3
30,2006,2.47
30,2007,2.47
30,2008,2.43
30,2009,2.6
30,2010,2.93
30,2011,2.93
30,2012,3.05
30,2013,2.91
30,2014,2.49
