Id,Year,Data
4,1960,0
4,1961,0
4,1962,0
4,1963,0
4,1964,0
4,1965,0
4,1966,0
4,1967,0
4,1968,0
4,1969,0
4,1970,0
4,1971,0
4,1972,0
4,1973,0
4,1974,0.00347
4,1975,0.0083
4,1976,0.00835
4,1977,0.00523
4,1978,0.00912
4,1979,0.00835
4,1980,0.00715
4,1981,0.00848
4,1982,0.00554
4,1983,0.00994
4,1984,0.0134
4,1985,0.0163
4,1986,0.0159
4,1987,0.0178
4,1988,0.0157
4,1989,0.0135
4,1990,0.0192
4,1991,0.0202
4,1992,0.0181
4,1993,0.0196
4,1994,0.0206
4,1995,0.0174
4,1996,0.0182
4,1997,0.0192
4,1998,0.0177
4,1999,0.0167
4,2000,0.0144
4,2001,0.0163
4,2002,0.0133
4,2003,0.0171
4,2004,0.0176
4,2005,0.0153
4,2006,0.0169
4,2007,0.0158
4,2008,0.0159
4,2009,0.0175
4,2010,0.0153
4,2011,0
5,1960,0
5,1961,0
5,1962,0
5,1963,0
5,1964,0
5,1965,0
5,1966,0
5,1967,0
5,1968,0
5,1969,0
5,1970,0
5,1971,0
5,1972,0
5,1973,0
5,1974,0
5,1975,0
5,1976,0
5,1977,0
5,1978,0
5,1979,0
5,1980,0
5,1981,0
5,1982,0
5,1983,0
5,1984,0
5,1985,0
5,1986,0
5,1987,0
5,1988,0
5,1989,0
5,1990,0
5,1991,0
5,1992,0
5,1993,0
5,1994,0
5,1995,0.00811
5,1996,0.063
5,1997,0.0441
5,1998,0.0439
5,1999,0.0578
5,2000,0.056
5,2001,0.0557
5,2002,0.0641
5,2003,0.0561
5,2004,0.0618
5,2005,0.0762
5,2006,0.0739
5,2007,0.0714
5,2008,0.0687
5,2009,0.0695
5,2010,0.0692
5,2011,0
12,1960,0
12,1961,0
12,1962,0.00004
12,1963,0.00043
12,1964,0.00047
12,1965,0
12,1966,0.00005
12,1967,0.00085
12,1968,0.00055
12,1969,0.0002
12,1970,0.00051
12,1971,0
12,1972,0.0001
12,1973,0.00067
12,1974,0.0013
12,1975,0.0596
12,1976,0.088
12,1977,0.104
12,1978,0.109
12,1979,0.0996
12,1980,0.11
12,1981,0.112
12,1982,0.137
12,1983,0.211
12,1984,0.242
12,1985,0.302
12,1986,0.344
12,1987,0.365
12,1988,0.374
12,1989,0.357
12,1990,0.369
12,1991,0.369
12,1992,0.373
12,1993,0.359
12,1994,0.347
12,1995,0.353
12,1996,0.369
12,1997,0.403
12,1998,0.392
12,1999,0.415
12,2000,0.407
12,2001,0.39
12,2002,0.397
12,2003,0.395
12,2004,0.393
12,2005,0.393
12,2006,0.383
12,2007,0.394
12,2008,0.37
12,2009,0.381
12,2010,0.385
12,2011,0.386
19,1960,0
19,1961,0
19,1962,0
19,1963,0
19,1964,0
19,1965,0
19,1966,0
19,1967,0
19,1968,0
19,1969,0
19,1970,0
19,1971,0
19,1972,0
19,1973,0
19,1974,0
19,1975,0
19,1976,0
19,1977,0
19,1978,0
19,1979,0
19,1980,0
19,1981,0
19,1982,0
19,1983,0
19,1984,0.00106
19,1985,0.00213
19,1986,0.00009
19,1987,0.00059
19,1988,0.00036
19,1989,0.00107
19,1990,0.00128
19,1991,0.00081
19,1992,0.00098
19,1993,0.00024
19,1994,0.00003
19,1995,0.00134
19,1996,0.00127
19,1997,0.00163
19,1998,0.00166
19,1999,0.00199
19,2000,0.00298
19,2001,0.00694
19,2002,0.00664
19,2003,0.00632
19,2004,0.00543
19,2005,0.00456
19,2006,0.00629
19,2007,0.0056
19,2008,0.00627
19,2009,0.00577
19,2010,0.00641
19,2011,0
20,1960,0
20,1961,0
20,1962,0
20,1963,0
20,1964,0
20,1965,0
20,1966,0
20,1967,0
20,1968,0
20,1969,0
20,1970,0
20,1971,0
20,1972,0
20,1973,0
20,1974,0.00919
20,1975,0.0252
20,1976,0.049
20,1977,0.0576
20,1978,0.0577
20,1979,0.0601
20,1980,0.0598
20,1981,0.0882
20,1982,0.104
20,1983,0.118
20,1984,0.122
20,1985,0.126
20,1986,0.116
20,1987,0.12
20,1988,0.155
20,1989,0.141
20,1990,0.143
20,1991,0.13
20,1992,0.115
20,1993,0.141
20,1994,0.156
20,1995,0.178
20,1996,0.188
20,1997,0.186
20,1998,0.179
20,1999,0.169
20,2000,0.195
20,2001,0.211
20,2002,0.22
20,2003,0.19
20,2004,0.186
20,2005,0.207
20,2006,0.218
20,2007,0.165
20,2008,0.179
20,2009,0.174
20,2010,0.175
20,2011,0
25,1960,0
25,1961,0
25,1962,0
25,1963,0.00042
25,1964,0.00067
25,1965,0.00056
25,1966,0.00074
25,1967,0.00064
25,1968,0.00377
25,1969,0.00213
25,1970,0.00411
25,1971,0.0166
25,1972,0.0278
25,1973,0.058
25,1974,0.0552
25,1975,0.0467
25,1976,0.064
25,1977,0.0956
25,1978,0.112
25,1979,0.125
25,1980,0.133
25,1981,0.139
25,1982,0.132
25,1983,0.165
25,1984,0.176
25,1985,0.201
25,1986,0.234
25,1987,0.25
25,1988,0.265
25,1989,0.251
25,1990,0.227
25,1991,0.26
25,1992,0.244
25,1993,0.281
25,1994,0.32
25,1995,0.287
25,1996,0.27
25,1997,0.238
25,1998,0.204
25,1999,0.208
25,2000,0.204
25,2001,0.213
25,2002,0.208
25,2003,0.204
25,2004,0.243
25,2005,0.245
25,2006,0.258
25,2007,0.244
25,2008,0.242
25,2009,0.23
25,2010,0.229
25,2011,0.228
29,1960,0
29,1961,0
29,1962,0
29,1963,0
29,1964,0
29,1965,0
29,1966,0
29,1967,0
29,1968,0
29,1969,0
29,1970,0
29,1971,0
29,1972,0
29,1973,0
29,1974,0
29,1975,0
29,1976,0
29,1977,0
29,1978,0
29,1979,0
29,1980,0
29,1981,0
29,1982,0
29,1983,0
29,1984,0
29,1985,0
29,1986,0
29,1987,0
29,1988,0
29,1989,0
29,1990,0
29,1991,0
29,1992,0
29,1993,0.00012
29,1994,0.00106
29,1995,0.00091
29,1996,0.00101
29,1997,0.001
29,1998,0.00097
29,1999,0.00102
29,2000,0.00113
29,2001,0.00118
29,2002,0.00168
29,2003,0.00288
29,2004,0.00334
29,2005,0.00349
29,2006,0.00359
29,2007,0.00404
29,2008,0.00443
29,2009,0.00452
29,2010,0.00474
29,2011,0
39,1960,0
39,1961,0
39,1962,0
39,1963,0
39,1964,0
39,1965,0
39,1966,0
39,1967,0
39,1968,0
39,1969,0
39,1970,0
39,1971,0
39,1972,0
39,1973,0
39,1974,0
39,1975,0
39,1976,0
39,1977,0
39,1978,0
39,1979,0
39,1980,0
39,1981,0
39,1982,0
39,1983,0.00167
39,1984,0.0103
39,1985,0.02
39,1986,0.0513
39,1987,0.0893
39,1988,0.0986
39,1989,0.104
39,1990,0.105
39,1991,0.101
39,1992,0.102
39,1993,0.105
39,1994,0.108
39,1995,0.102
39,1996,0.107
39,1997,0.104
39,1998,0.11
39,1999,0.112
39,2000,0.114
39,2001,0.124
39,2002,0.158
39,2003,0.218
39,2004,0.222
39,2005,0.208
39,2006,0.218
39,2007,0.218
39,2008,0.22
39,2009,0.224
39,2010,0.229
39,2011,0.231
49,1960,0
49,1961,0
49,1962,0
49,1963,0
49,1964,0
49,1965,0
49,1966,0
49,1967,0
49,1968,0
49,1969,0
49,1970,0
49,1971,0
49,1972,0
49,1973,0
49,1974,0
49,1975,0
49,1976,0
49,1977,0.0483
49,1978,0.0591
49,1979,0.122
49,1980,0.126
49,1981,0.263
49,1982,0.299
49,1983,0.314
49,1984,0.333
49,1985,0.334
49,1986,0.333
49,1987,0.342
49,1988,0.34
49,1989,0.33
49,1990,0.331
49,1991,0.335
49,1992,0.329
49,1993,0.339
49,1994,0.328
49,1995,0.324
49,1996,0.327
49,1997,0.35
49,1998,0.365
49,1999,0.383
49,2000,0.374
49,2001,0.378
49,2002,0.369
49,2003,0.375
49,2004,0.374
49,2005,0.382
49,2006,0.374
49,2007,0.381
49,2008,0.371
49,2009,0.379
49,2010,0.365
49,2011,0.37
50,1960,0.00027
50,1961,0.0005
50,1962,0.00087
50,1963,0.00084
50,1964,0.00117
50,1965,0.00186
50,1966,0.00281
50,1967,0.00506
50,1968,0.00608
50,1969,0.00846
50,1970,0.00967
50,1971,0.0157
50,1972,0.0243
50,1973,0.0244
50,1974,0.0241
50,1975,0.0298
50,1976,0.0256
50,1977,0.0291
50,1978,0.0491
50,1979,0.064
50,1980,0.0978
50,1981,0.167
50,1982,0.172
50,1983,0.227
50,1984,0.299
50,1985,0.349
50,1986,0.393
50,1987,0.409
50,1988,0.422
50,1989,0.463
50,1990,0.476
50,1991,0.5
50,1992,0.509
50,1993,0.551
50,1994,0.537
50,1995,0.561
50,1996,0.589
50,1997,0.584
50,1998,0.57
50,1999,0.577
50,2000,0.605
50,2001,0.61
50,2002,0.628
50,2003,0.63
50,2004,0.636
50,2005,0.636
50,2006,0.631
50,2007,0.612
50,2008,0.609
50,2009,0.564
50,2010,0.587
50,2011,0.603
54,1960,0
54,1961,0.00003
54,1962,0.00012
54,1963,0.00006
54,1964,0.00012
54,1965,0.00013
54,1966,0.0003
54,1967,0.00137
54,1968,0.00196
54,1969,0.00545
54,1970,0.00714
54,1971,0.00682
54,1972,0.0104
54,1973,0.0132
54,1974,0.0158
54,1975,0.0264
54,1976,0.0323
54,1977,0.0451
54,1978,0.048
54,1979,0.0571
54,1980,0.0611
54,1981,0.0721
54,1982,0.0821
54,1983,0.0863
54,1984,0.116
54,1985,0.153
54,1986,0.144
54,1987,0.156
54,1988,0.172
54,1989,0.177
54,1990,0.166
54,1991,0.159
54,1992,0.17
54,1993,0.163
54,1994,0.159
54,1995,0.161
54,1996,0.167
54,1997,0.178
54,1998,0.169
54,1999,0.177
54,2000,0.177
54,2001,0.179
54,2002,0.172
54,2003,0.172
54,2004,0.174
54,2005,0.17
54,2006,0.174
54,2007,0.146
54,2008,0.155
54,2009,0.141
54,2010,0.147
54,2011,0.113
62,1960,0
62,1961,0
62,1962,0
62,1963,0
62,1964,0
62,1965,0
62,1966,0
62,1967,0
62,1968,0
62,1969,0
62,1970,0
62,1971,0
62,1972,0
62,1973,0
62,1974,0
62,1975,0
62,1976,0
62,1977,0
62,1978,0
62,1979,0
62,1980,0
62,1981,0
62,1982,0
62,1983,0.02
62,1984,0.0306
62,1985,0.0529
62,1986,0.0608
62,1987,0.0903
62,1988,0.111
62,1989,0.115
62,1990,0.114
62,1991,0.114
62,1992,0.116
62,1993,0.115
62,1994,0.117
62,1995,0.117
62,1996,0.118
62,1997,0.117
62,1998,0.117
62,1999,0.118
62,2000,0.119
62,2001,0.119
62,2002,0.118
62,2003,0.0934
62,2004,0.101
62,2005,0.118
62,2006,0.115
62,2007,0.126
62,2008,0.127
62,2009,0.133
62,2010,0.136
62,2011,0.135
64,1960,0
64,1961,0
64,1962,0
64,1963,0
64,1964,0
64,1965,0
64,1966,0
64,1967,0
64,1968,0
64,1969,0
64,1970,0
64,1971,0.00018
64,1972,0.00017
64,1973,0.00035
64,1974,0.00031
64,1975,0.00036
64,1976,0.00044
64,1977,0.0003
64,1978,0.00036
64,1979,0.00036
64,1980,0.00037
64,1981,0.00036
64,1982,0.00024
64,1983,0.00041
64,1984,0.00046
64,1985,0.00055
64,1986,0.00054
64,1987,0.00053
64,1988,0.0006
64,1989,0.00046
64,1990,0.0006
64,1991,0.00053
64,1992,0.00064
64,1993,0.0005
64,1994,0.00051
64,1995,0.00071
64,1996,0.00079
64,1997,0.00087
64,1998,0.00101
64,1999,0.0011
64,2000,0.00138
64,2001,0.00156
64,2002,0.00153
