Id,Year,Data
2,1965,2.08
2,1966,2.61
2,1967,2.91
2,1968,3.1
2,1969,3.16
2,1970,3.34
2,1971,2.47
2,1972,3.25
2,1973,3.29
2,1974,2.96
2,1975,2.82
2,1976,3.06
2,1977,3.17
2,1978,3.15
2,1979,3.11
2,1980,2.68
2,1981,2.32
2,1982,2.23
2,1983,2.13
2,1984,2.24
2,1985,2.1
2,1986,2.1
2,1987,2.11
2,1988,2.15
2,1989,2.17
2,1990,2.27
2,1991,2.22
2,1992,2.09
2,1993,2.04
2,1994,1.99
2,1995,1.94
2,1996,2.02
2,1997,2.07
2,1998,2.03
2,1999,1.91
2,2000,2.15
2,2001,2.09
2,2002,2.23
2,2003,2.45
2,2004,2.56
2,2005,2.61
2,2006,2.56
2,2007,2.53
2,2008,2.44
2,2009,2.19
2,2010,2.05
2,2011,1.96
2,2012,1.8
2,2013,1.7
2,2014,1.77
2,2015,1.69
2,2016,1.69
2,2017,1.61
2,2018,1.55
2,2019,1.49
3,1965,0.114
3,1966,0.109
3,1967,0.093
3,1968,0.13
3,1969,0.424
3,1970,0.86
3,1971,0.947
3,1972,1.13
3,1973,1.26
3,1974,1.26
3,1975,1.11
3,1976,1.04
3,1977,0.937
3,1978,0.83
3,1979,0.894
3,1980,0.891
3,1981,0.828
3,1982,0.716
3,1983,0.947
3,1984,1.05
3,1985,1.15
3,1986,1.35
3,1987,1.64
3,1988,2.02
3,1989,1.98
3,1990,1.97
3,1991,2
3,1992,2.15
3,1993,1.9
3,1994,2.03
3,1995,2.24
3,1996,2.46
3,1997,2.45
3,1998,2.34
3,1999,2.31
3,2000,2.25
3,2001,2.16
3,2002,2.55
3,2003,2.36
3,2004,2.91
3,2005,3.21
3,2006,3.41
3,2007,3.88
3,2008,4.25
3,2009,3.82
3,2010,3.81
3,2011,3.39
3,2012,3.4
3,2013,3.28
3,2014,3.09
3,2015,3.16
3,2016,2.97
3,2017,2.74
3,2018,2.4
3,2019,2.17
4,1965,0.621
4,1966,0.651
4,1967,0.699
4,1968,0.755
4,1969,0.77
4,1970,0.838
4,1971,0.889
4,1972,0.901
4,1973,0.862
4,1974,0.83
4,1975,0.783
4,1976,0.777
4,1977,0.827
4,1978,0.858
4,1979,0.884
4,1980,0.906
4,1981,0.908
4,1982,0.888
4,1983,0.877
4,1984,0.845
4,1985,0.8
4,1986,0.745
4,1987,0.724
4,1988,0.749
4,1989,0.754
4,1990,0.78
4,1991,0.782
4,1992,0.866
4,1993,0.915
4,1994,1
4,1995,1.08
4,1996,1.16
4,1997,1.22
4,1998,1.22
4,1999,1.14
4,2000,1.12
4,2001,1.18
4,2002,1.15
4,2003,1.13
4,2004,1.07
4,2005,1.01
4,2006,1
4,2007,0.963
4,2008,0.943
4,2009,0.841
4,2010,0.814
4,2011,0.755
4,2012,0.739
4,2013,0.715
4,2014,0.699
4,2015,0.698
4,2016,0.658
4,2017,0.62
4,2018,0.621
4,2019,0.644
6,1965,0.0306
6,1966,0.0384
6,1967,0.0873
6,1968,0.158
6,1969,0.178
6,1970,0.68
6,1971,1.17
6,1972,1.23
6,1973,1.52
6,1974,1.48
6,1975,1.57
6,1976,1.59
6,1977,1.66
6,1978,1.63
6,1979,1.61
6,1980,1.5
6,1981,1.44
6,1982,1.4
6,1983,1.34
6,1984,1.72
6,1985,1.96
6,1986,1.72
6,1987,1.8
6,1988,1.68
6,1989,1.56
6,1990,1.79
6,1991,1.66
6,1992,1.62
6,1993,1.49
6,1994,1.59
6,1995,1.48
6,1996,1.54
6,1997,1.62
6,1998,1.52
6,1999,1.46
6,2000,1.95
6,2001,1.79
6,2002,1.76
6,2003,1.5
6,2004,1.3
6,2005,1.26
6,2006,1.15
6,2007,1.17
6,2008,1.13
6,2009,1.03
6,2010,1.11
6,2011,0.955
6,2012,0.934
6,2013,0.766
6,2014,0.809
6,2015,0.71
6,2016,0.643
6,2017,0.608
6,2018,0.609
6,2019,0.818
8,1965,0
8,1966,0
8,1967,0
8,1968,0
8,1969,0
8,1970,0
8,1971,0
8,1972,0
8,1973,0
8,1974,0
8,1975,0
8,1976,0
8,1977,0
8,1978,0
8,1979,0
8,1980,0
8,1981,0
8,1982,0
8,1983,0
8,1984,0
8,1985,1.98
8,1986,1.93
8,1987,2.02
8,1988,1.96
8,1989,1.85
8,1990,1.73
8,1991,1.6
8,1992,1.5
8,1993,1.35
8,1994,1.24
8,1995,1.18
8,1996,1.16
8,1997,1.14
8,1998,1.43
8,1999,1.72
8,2000,1.73
8,2001,1.83
8,2002,1.85
8,2003,1.84
8,2004,1.83
8,2005,2.6
8,2006,3.74
8,2007,4.97
8,2008,5.14
8,2009,5.7
8,2010,5.68
8,2011,5.04
8,2012,4.72
8,2013,4.67
8,2014,4.47
8,2015,4.37
8,2016,4.26
8,2017,3.97
8,2018,3.94
8,2019,3.79
19,1965,0.0605
19,1966,0.0719
19,1967,0.088
19,1968,0.0942
19,1969,0.1
19,1970,0.0924
19,1971,0.0944
19,1972,0.0904
19,1973,0.0895
19,1974,0.0912
19,1975,0.0868
19,1976,0.0826
19,1977,0.0777
19,1978,0.0755
19,1979,0.0764
19,1980,0.0819
19,1981,0.0934
19,1982,0.111
19,1983,0.138
19,1984,0.189
19,1985,0.218
19,1986,0.224
19,1987,0.219
19,1988,0.21
19,1989,0.22
19,1990,0.229
19,1991,0.222
19,1992,0.222
19,1993,0.223
19,1994,0.227
19,1995,0.231
19,1996,0.258
19,1997,0.273
19,1998,0.31
19,1999,0.345
19,2000,0.384
19,2001,0.396
19,2002,0.438
19,2003,0.448
19,2004,0.44
19,2005,0.478
19,2006,0.5
19,2007,0.5
19,2008,0.514
19,2009,0.545
19,2010,0.569
19,2011,0.576
19,2012,0.562
19,2013,0.546
19,2014,0.604
19,2015,0.647
19,2016,0.661
19,2017,0.685
19,2018,0.669
19,2019,0.714
165,1965,38.7
165,1966,44.4
165,1967,45.9
165,1968,51.5
165,1969,49.8
165,1970,52.1
165,1971,47.2
165,1972,63.8
165,1973,77
165,1974,62.8
165,1975,56.7
165,1976,63.2
165,1977,63.5
165,1978,64.8
165,1979,67.9
165,1980,60.4
165,1981,42.3
165,1982,42.1
165,1983,41.2
165,1984,38.6
165,1985,36.4
165,1986,34.9
165,1987,31.8
165,1988,30
165,1989,29
165,1990,28.6
165,1991,30.1
165,1992,32.6
165,1993,30.3
165,1994,30.2
165,1995,28.7
165,1996,26.5
165,1997,25.5
165,1998,24
165,1999,27.3
165,2000,28.5
165,2001,29.3
165,2002,29.7
165,2003,29.7
165,2004,28.7
165,2005,27.6
165,2006,29.2
165,2007,25.3
165,2008,22.6
165,2009,21.4
165,2010,21.7
165,2011,20.5
165,2012,19.5
165,2013,16.3
165,2014,15
165,2015,14.9
165,2016,14
165,2017,12.9
165,2018,12.6
165,2019,13.6
25,1965,2.24
25,1966,2.41
25,1967,2.59
25,1968,2.76
25,1969,2.96
25,1970,3.28
25,1971,3.46
25,1972,3.93
25,1973,4.48
25,1974,4.15
25,1975,3.54
25,1976,3.22
25,1977,3.2
25,1978,3.15
25,1979,3.57
25,1980,3.41
25,1981,3.06
25,1982,2.99
25,1983,3.12
25,1984,3.29
25,1985,3.33
25,1986,3.29
25,1987,3.42
25,1988,3.55
25,1989,3.41
25,1990,3.37
25,1991,3.34
25,1992,3.44
25,1993,3.58
25,1994,3.7
25,1995,3.84
25,1996,3.92
25,1997,4.06
25,1998,4.17
25,1999,3.99
25,2000,4.33
25,2001,4.31
25,2002,4.47
25,2003,4.67
25,2004,4.76
25,2005,4.62
25,2006,4.83
25,2007,4.91
25,2008,4.76
25,2009,4.69
25,2010,4.85
25,2011,5.07
25,2012,5.38
25,2013,5.68
25,2014,6.05
25,2015,6.21
25,2016,6.23
25,2017,6.69
25,2018,7.24
25,2019,7.35
27,1965,0
27,1966,0
27,1967,0
27,1968,0
27,1969,0
27,1970,0
27,1971,0
27,1972,0
27,1973,0
27,1974,0
27,1975,0
27,1976,0
27,1977,0
27,1978,0
27,1979,0
27,1980,0
27,1981,0
27,1982,0
27,1983,0
27,1984,0
27,1985,0
27,1986,0
27,1987,0
27,1988,0
27,1989,0
27,1990,0
27,1991,0
27,1992,0
27,1993,0
27,1994,0
27,1995,0
27,1996,0
27,1997,0
27,1998,0
27,1999,0
27,2000,0
27,2001,0
27,2002,0
27,2003,0.132
27,2004,0.908
27,2005,0.902
27,2006,0.769
27,2007,0.697
27,2008,0.598
27,2009,0.535
27,2010,0.536
27,2011,0.483
27,2012,0.415
27,2013,0.36
27,2014,0.341
27,2015,0.412
27,2016,0.421
27,2017,0.344
27,2018,0.392
27,2019,0.418
29,1965,0.0156
29,1966,0.0196
29,1967,0.0182
29,1968,0.0204
29,1969,0.027
